,hemerobia,dem90_max,dem90_mean,dem90_min,holdridge,mad_mex_asentamientos,mad_mex_bosque,mad_mex_cultivos_pastizales,mad_mex_matorral,mad_mex_selva,mad_mex_suelo_desnudo,modis_dry,modis_mean,modis_rainy,modis_sd,vh_entropy,vh
hemerobia,,,,,,,1,,1,1,,1,1,1,1,1,1
dem90_max,,,,,,,1,,1,1,,1,1,1,1,1,1
dem90_mean,,,,,,,1,,1,1,,1,1,1,1,1,1
dem90_min,,,,,,,1,,1,1,,1,1,1,1,1,1
holdridge,,,,,,,1,,1,1,,1,1,1,1,1,1
mad_mex_asentamientos,1,,,,,,,,,,,,,,,,
mad_mex_bosque,,,,,,,,,,,,,,,,,
mad_mex_cultivos_pastizales,1,,,,,,,,,,,,,,,,
mad_mex_matorral,,,,,,,,,,,,,,,,,
mad_mex_selva,,,,,,,,,,,,,,,,,
mad_mex_suelo_desnudo,1,,,,,,,,,,,,,,,,
modis_dry,,,,,,,,,,,,,,,,,
modis_mean,,,,,,,,,,,,,,,,,
modis_rainy,,,,,,,,,,,,,,,,,
modis_sd,,,,,,,,,,,,,,,,,
vh_entropy,,,,,,,,,,,,,,,,,
vh,,,,,,,,,,,,,,,,,